loan_id,disbursement_date,expire_date,is_employed,loan_amount,number_of_defaults,outstanding_balance,interest_rate,age,remaining_term,salary,sector,currency,loan_status
1,2020-03-10,2020-12-06,1.0,28982.170288418867,4.0,29869.899084071476,0.11233995684145442,38.0,49.0,4908.585020705723,Agriculture,USD,Non-Default
2,2021-11-23,2022-08-22,,27464.842064538963,5.0,27408.000182025855,0.12894120305621162,30.0,30.0,2283.627179639192,Agriculture,EUR,Non-Default
3,2020-12-07,2021-03-28,0.0,24469.17555772435,2.0,19078.850399718354,0.22411904872534122,63.0,17.0,4093.206304550982,Services,USD,Non-Default
4,2020-06-29,2021-04-26,1.0,36218.404504144026,9.0,5269.500605730931,0.12574712038590066,30.0,7.0,13755.258629182277,Retail,GBP,Default
5,2021-12-29,2022-10-10,1.0,45353.25945970986,6.0,22912.296525946716,0.1426419689336507,40.0,10.0,14089.46757906372,Retail,EUR,Default
6,2021-10-22,2022-06-21,1.0,5974.506204282765,0.0,2492.0237103295717,0.014791829138465832,63.0,47.0,-1529.9508035654544,IT,ZWL,Non-Default
7,2022-03-21,2022-07-08,1.0,21934.173341836326,0.0,9747.824979017316,0.14374992882872512,22.0,36.0,-8570.523443484584,IT,ZWL,Non-Default
8,2020-12-02,2021-08-19,0.0,37595.77015590541,4.0,14551.721809914756,0.0359025959388664,25.0,54.0,4597.535196676561,Retail,AUD,nan
9,2022-03-29,2022-12-29,1.0,23161.767840674733,5.0,16344.996298645072,0.11783398863612135,31.0,26.0,2328.473746021031,Retail,EUR,Non-Default
10,2021-11-16,2022-02-04,0.0,41763.628791505485,0.0,5985.145075630682,0.11043101163394062,21.0,31.0,-2405.4249792131377,Agriculture,USD,Non-Default
11,2021-01-28,2021-05-29,1.0,31032.25730514321,8.0,8698.407085883984,0.09827064313036002,22.0,29.0,-2592.699823367442,Retail,AUD,Non-Default
12,2020-11-11,2021-07-25,,9899.36171748153,1.0,4842.795848785349,0.19238713743480146,27.0,38.0,-2135.1388839051497,IT,EUR,Non-Default
