loan_id,disbursement_date,expire_date,is_employed,loan_amount,number_of_defaults,outstanding_balance,interest_rate,age,remaining_term,salary,loan_status
3605a549-d356-4ee4-b2a0-5787a56e937a,2023-02-26,2028-01-31,False,27067.17,0,26231.27,11.66,36,60,42088.37,Default
ac12fa1e-8801-4186-a96f-a2d7c7053fe4,2021-07-02,2026-06-06,True,6781.85,5,5349.35,4.13,65,60,53741.86,Default
8acc3881-d3f0-46fe-9875-2754b6e29ebc,2024-01-22,2027-01-06,True,19590.18,1,31030.56,3.0,34,36,51405.74,Default
a3b4d4f5-b12f-4d26-b23e-3fdfd80d17ec,2021-01-18,2025-12-23,True,2137.98,4,2059.57,19.01,59,60,96083.77,Non-Default
a38b2014-c256-4478-b129-02e9fafaab33,2021-05-31,2025-05-10,True,9986.42,1,3147.82,5.35,36,48,68529.55,Non-Default
3b3b5bf7-004d-4ca6-89ec-ae95b4a33978,2023-05-15,2025-05-04,True,34692.26,4,7396.67,19.08,28,24,90805.99,Non-Default
c7423284-5a3d-466c-a7a4-dbb044e78561,2023-09-12,2027-08-22,False,17041.85,4,7791.78,24.57,23,48,35517.6,Default
9f0764b3-7831-4334-9aee-54b02604c467,2023-09-02,2024-08-27,False,49748.1,4,18338.35,13.77,64,12,27015.48,Non-Default
2b6f3bfa-31c5-4b76-b33e-2de9947e8da8,2024-04-27,2028-04-06,False,37507.36,0,14984.88,15.16,50,48,63045.91,Non-Default
b0bbdd8a-b4bb-452d-bf17-66e4d9dec386,2021-05-13,2026-04-17,False,38223.02,1,7593.14,22.92,18,60,20618.17,Non-Default
a7ba9548-3366-4cce-84d3-fb30f4826f25,2022-08-14,2025-07-29,False,22169.92,4,5590.94,4.34,40,36,25657.2,Default
a963ecf9-e0d2-4f83-99ab-2f69c0a0cd3d,2023-07-12,2026-06-26,True,12770.35,3,32071.81,10.5,22,36,118231.16,Non-Default
6bb66c1b-3c3e-46a5-8272-e902aabd7493,2020-11-24,2021-11-19,True,40883.72,2,10965.23,13.36,28,12,87106.99,Non-Default
48ed0ffc-eda9-4d6f-80f2-7d8b4ea93361,2021-12-08,2025-11-17,False,49274.27,0,43313.16,12.02,69,48,28757.32,Non-Default
f9a0c1c0-d061-490c-92ab-42c6fbe46c0d,2024-06-20,2028-05-30,False,13243.52,2,17302.76,2.86,71,48,29223.58,Default
be8ffcfa-e1f3-4448-986c-7394f18b00ae,2020-08-18,2023-08-03,True,48285.78,0,22252.11,10.85,60,36,119704.94,Default
53d23467-e9d9-4c8a-b0ff-dee14e14a33f,2022-05-09,2027-04-13,False,35775.89,5,29911.95,5.49,73,60,107749.82,Non-Default
fb8c0143-9049-4257-8208-af45ebfe843f,2021-08-28,2026-08-02,False,17005.71,3,13229.24,12.38,40,60,39818.53,Non-Default
27af1542-e647-4afe-9699-b5fb6f03086c,2023-10-20,2028-09-23,True,12014.4,3,32451.45,7.69,50,60,38027.27,Default
9c90316c-5750-405d-8742-f282325a6f7e,2021-08-12,2025-07-22,False,30789.36,3,29009.1,12.84,27,48,52996.01,Default
7cb47656-4417-48e3-bb90-79e5a89937c5,2022-11-18,2025-11-02,False,27019.85,2,11267.75,18.06,21,36,82567.78,Default
5eab40c9-df3f-451a-b529-0d4194839ed8,2022-09-07,2024-08-27,False,40816.06,5,40652.24,6.14,69,24,107836.66,Non-Default
bde7cf00-d898-4971-9e95-eb317def115c,2021-10-27,2023-10-17,False,24905.5,4,9441.96,17.67,63,24,113848.47,Non-Default
95d0a904-4f85-4db8-baaf-751beef76ac7,2023-05-13,2024-05-07,True,45690.18,4,28723.11,21.57,24,12,48439.98,Default
24cecb40-9c64-47b6-8933-405bf93d6fb7,2020-09-06,2025-08-11,True,19043.47,0,28338.09,7.39,73,60,119003.91,Non-Default
9e5b1670-3841-4dc7-b51a-15dac53bb108,2024-07-17,2025-07-12,True,7632.76,3,6018.92,14.87,56,12,39925.21,Non-Default
3e44f246-7012-4de1-83ff-b6a4a09159bf,2020-10-09,2022-09-29,False,13781.29,5,25826.25,4.83,60,24,86907.47,Non-Default
0ffaeef5-9048-4d78-ab35-7a439179cdc0,2020-05-05,2025-04-09,False,44901.52,2,44450.26,17.21,33,60,60946.01,Non-Default
98b2b84a-4348-4587-8a7d-8f4a7ec4a63b,2022-04-20,2027-03-25,True,6583.5,4,33259.56,22.86,19,60,79930.79,Default
